Title,Author,Avg_Rating,Total_Ratings,Votes,Score
Black Lies,Alessandra Torre,4.25,31751,13,1147
"Nine Princes in Amber (The Chronicles of Amber, #1)",Roger Zelazny,4.05,60692,18,1147
"The Miniaturist (The Miniaturist, #1)",Jessie Burton,3.62,152384,14,1147
"As You Ice It (Appies, #7)",Emma St. Clair,4.18,2750,12,1147
"The Gamble (Colorado Mountain, #1)",Kristen Ashley,4.24,60942,16,1146
The End of Your Life Book Club,Will Schwalbe,3.81,55828,13,1146
Becoming Free Indeed: My Story of Disentangling Faith from Fear,Jinger Duggar Vuolo,3.61,51259,12,1146
"Deadly Little Secret (Touch, #1)",Laurie Faria Stolarz,3.86,22922,12,1145
"The Bride (Lairds' Fiancées, #1)",Julie Garwood,4.22,70358,16,1145
"All Fall Down (Embassy Row, #1)",Ally Carter,3.85,31120,13,1145
Where the Mountain Meets the Moon,Grace Lin,4.32,54006,14,1145
The World Is Flat: A Brief History of the Twenty-first Century,Thomas L. Friedman,3.69,102487,15,1144
"The Warden and the Wolf King (The Wingfeather Saga, #4)",Andrew       Peterson,4.74,17676,12,1144
"Memory Man (Amos Decker, #1)",David Baldacci,4.12,157838,15,1144
The Devil and Miss Prym,Paulo Coelho,3.62,74366,13,1143
The Grand Design,Stephen W. Hawking,4.06,77236,16,1143
Before We Were Strangers,Renee Carlino,4.04,163430,12,1143
"Zoo Station (John Russell, #1)",David Downing,3.89,7528,12,1143
"Vengeful (Villains, #2)",V.E. Schwab,4.12,127966,13,1142
"The Sinner (Rizzoli & Isles, #3)",Tess Gerritsen,4.14,63167,13,1141
"Percy Jackson and the Olympians Boxed Set (Percy Jackson and the Olympians, #1-5)",Rick Riordan,4.61,38123,14,1141
"Blood Work (Harry Bosch Universe, #7)",Michael    Connelly,4.16,61655,15,1141
"Finding Sky (Benedicts, #1)",Joss Stirling,4.05,22643,12,1140
Chinese Cinderella: The True Story of an Unwanted Daughter,Adeline Yen Mah,4.08,41468,14,1140
The Demolished Man,Alfred Bester,3.96,33816,16,1139
The Charm School,Demille Nelson,4.29,40993,14,1138
Money Game: A Wealth Manifestation Guide. Level Up Your Mindset Step-By-Step & Create An Abundant Life,Daniel Mangena,4.33,5938,12,1138
"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,4.29,312230,13,1138
Suicide Notes,Michael Thomas Ford,3.8,54468,13,1137
Time Chain,Steven Decker,3.95,2288,13,1137
"Twisted Love (Twisted, #1)",Ana Huang,3.71,1592599,13,1137
Zodiac,Robert Graysmith,3.91,27367,13,1136
#Girlboss,Sophia Amoruso,3.64,76408,13,1136
The Library at Mount Char,Scott  Hawkins,4.06,78440,13,1136
The Giver of Stars,Jojo Moyes,4.29,503208,12,1136
"Fable (The World of the Narrows, #1)",Adrienne Young,4.0,115136,14,1136
Coin Locker Babies,Ryū Murakami,3.8,9640,13,1135
"The Hand on the Wall (Truly Devious, #3)",Maureen Johnson,4.12,93299,13,1135
"The Looking Glass Wars (The Looking Glass Wars, #1)",Frank Beddor,3.92,46881,16,1134
Grande Sertão: Veredas,João Guimarães Rosa,4.62,6277,12,1134
"The Good Daughter (Good Daughter, #1)",Karin Slaughter,4.13,235314,14,1134
Wilder Girls,Rory Power,3.45,99748,12,1134
"It Happened One Summer (Bellinger Sisters, #1)",Tessa Bailey,3.9,706219,12,1133
Animal Farm,George Orwell,4.02,4501567,15,1133
"Lightlark (Lightlark, #1)",Alex Aster,3.84,322796,13,1133
"Tommaso (Immortal Matchmakers, Inc. #2)",Mimi Jean Pamfiloff,4.13,1237,12,1132
10% Happier,Dan   Harris,3.91,114647,14,1132
The Pragmatist’s Guide to Crafting Religion: A playbook for sculpting cultures that overcome demographic collapse & facilitate long-term human flourishing,Simone Collins,4.36,896,12,1132
"The Ritual (L.O.R.D.S., #1)",Shantel Tessier,4.05,343253,13,1132
The Ransom of Red Chief,O. Henry,4.15,6756,23,1131
"Halt's Peril (Ranger's Apprentice, #9)",John Flanagan,4.39,64052,15,1131
"Something Wonderful (Sequels, #2)",Judith McNaught,4.3,31464,16,1131
"The Whole Truth (A. Shaw, #1)",David Baldacci,4.08,42802,14,1131
"Jack Who?: Perfect Storms (Silver Strings G, #1)",Lisa Gillis,3.63,1265,12,1131
"Forsaken (The Demon Trappers, #1)",Jana Oliver,3.99,18627,13,1131
"Bunnicula: A Rabbit-Tale of Mystery (Bunnicula, #1)",Deborah Howe,3.89,71298,18,1130
"Killer Instinct (The Naturals, #2)",Jennifer Lynn Barnes,4.26,214476,14,1130
"Lights Out (Into Darkness, #1)",Navessa Allen,4.1,554670,12,1130
Another Country,James Baldwin,4.3,34038,14,1129
"Half Magic (Tales of Magic, #1)",Edward Eager,3.95,38338,17,1128
"The History of Sexuality, Volume 1: An Introduction",Michel Foucault,4.02,25512,16,1127
Hey Nostradamus!,Douglas Coupland,3.73,19413,14,1127
Amerika,Franz Kafka,3.74,34133,18,1127
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,Eric    Weiner,3.84,38607,13,1127
A Book of Five Rings: The Classic Guide to Strategy,Miyamoto Musashi,3.95,61363,12,1127
"Girl Online (Girl Online, #1)",Zoe Sugg,3.66,67437,12,1127
"Pucking Around (Jacksonville Rays, #1)",Emily Rath,3.74,213937,12,1127
"The Last Hero (Discworld, #27; Rincewind, #7)",Terry Pratchett,4.18,39546,14,1126
The Call of Cthulhu,H.P. Lovecraft,4.02,117694,13,1126
Galileo,Bertolt Brecht,3.66,18685,13,1125
"Night Fall (John Corey, #3)",Nelson DeMille,4.14,36209,13,1125
Walking into Dreams,Steven Decker,4.28,860,13,1125
"The Man From Berlin (Gregor Reinhardt, #1)",Luke McCallin,3.98,3721,12,1125
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,A.J. Jacobs,3.76,69000,16,1124
A Woman of Substance (Emma Harte Saga #1),Barbara Taylor Bradford,4.21,41583,15,1124
"The Gray Wolf Throne (Seven Realms, #3)",Cinda Williams Chima,4.37,51760,13,1123
"Bluestar's Prophecy (Warriors Super Edition, #2)",Erin Hunter,4.53,19559,16,1122
1491: New Revelations of the Americas Before Columbus,Charles C. Mann,4.05,94815,15,1122
The World Without Us,Alan Weisman,3.81,43296,14,1122
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,3.95,125132,13,1122
All This Time,Mikki Daughtry,3.89,50156,12,1122
Melania and Me,Stephanie Winston Wolkoff,3.23,8098,12,1122
Consider the Lobster and Other Essays,David Foster Wallace,4.18,53930,14,1121
"The Darkest Temptation (Made, #3)",Danielle Lori,4.03,168144,12,1121
The First Phone Call from Heaven,Mitch Albom,3.79,71918,13,1120
Un Aquilone di Farfalle: Romanzo,Giulietta Esthel,4.68,87,12,1120
"Godsgrave (The Nevernight Chronicle, #2)",Jay Kristoff,4.45,72045,13,1119
"At Home in Mitford (Mitford Years, #1)",Jan Karon,4.13,69432,17,1118
Crazy Love: Overwhelmed by a Relentless God,Francis Chan,4.16,201608,14,1118
"Sookie Stackhouse 8 Volume Set (Sookie Stackhouse, #1-8)",Charlaine Harris,4.3,10169,15,1118
"The 39 Steps (Richard Hannay, #1)",John Buchan,3.59,46171,13,1118
Prometheus Bound,Aeschylus,3.94,21461,15,1118
Seven Years in Tibet,Heinrich Harrer,4.1,26494,14,1118
Sleepers,Lorenzo Carcaterra,4.28,17107,13,1117
Night Shift,Stephen  King,4.04,197741,16,1117
"Thrall (Thrall, #1)",Julie Mannino,3.76,203,13,1117
Space Trilogy: Out of the Silent Planet / Perelandra / That Hideous Strength,C.S. Lewis,4.19,12042,12,1116
"All Things Wise and Wonderful (All Creatures Great and Small, #5-6)",James Herriot,4.45,37673,18,1116
"The Enchantress (The Secrets of the Immortal Nicholas Flamel, #6)",Michael  Scott,4.24,48065,16,1115
"Why Nations Fail: The Origins of Power, Prosperity, and Poverty",Daron Acemoğlu,4.09,62219,13,1115
"Hard Bitten (Chicagoland Vampires, #4)",Chloe Neill,4.14,39560,16,1114
A Gracious Enemy & After the War Volume One,Michael G. Kramer,4.28,10890,13,1114
"Dark Days (Skulduggery Pleasant, #4)",Derek Landy,4.41,25580,13,1113
Five Quarters of the Orange,Joanne Harris,3.87,38586,16,1113
Just the Sexiest Man Alive,Julie James,3.91,45621,14,1112
Darkness Visible: A Memoir of Madness,William Styron,3.99,31472,14,1112
Nobody's Boy,Hector Malot,4.4,23148,13,1111
An Anonymous Girl,Greer Hendricks,3.79,180821,14,1111
The French Spy,Mark   Ellis,4.35,696,14,1111
The Female of the Species,Mindy McGinnis,4.14,38862,13,1110
Half Broke Horses,Jeannette Walls,4.09,172868,14,1109
"Das erste Buch der Träume (Silber, #1)",Kerstin Gier,4.12,53918,13,1109
"The Affair (Jack Reacher, #16)",Lee Child,4.16,109421,14,1108
"Little Town on the Prairie  (Little House, #7)",Laura Ingalls Wilder,4.2,93392,17,1107
The Prince and the Dressmaker,Jen Wang,4.33,121765,12,1107
"All the Lies (Mindf*ck, #4)",S.T. Abby,4.51,293831,13,1106
Love Connection: Romance in the Land of the Rising Sun,John Rachel,4.36,1292,13,1106
"Cursor's Fury (Codex Alera, #3)",Jim  Butcher,4.37,71183,13,1105
Reconstructing Amelia,Kimberly McCreight,3.83,135941,13,1105
"A Beautiful Wedding (Beautiful, #2.5)",Jamie McGuire,3.94,71782,14,1105
A History of the World in 6 Glasses,Tom Standage,3.81,33621,13,1105
The Iliad,Homer,3.93,506617,13,1105
"Covet (Fallen Angels, #1)",J.R. Ward,3.92,50948,15,1104
"The Republic of Thieves (Gentleman Bastard, #3)",Scott Lynch,4.21,120341,13,1104
"Shadow of the Hegemon (The Shadow Series, #2)",Orson Scott Card,3.97,81248,16,1103
Musicophilia: Tales of Music and the Brain,Oliver Sacks,3.95,74018,12,1103
House of Hollow,Krystal Sutherland,4.01,100105,12,1103
"The Farthest Shore (Earthsea Cycle, #3)",Ursula K. Le Guin,4.13,125753,13,1102
Way of the Peaceful Warrior: A Book That Changes Lives,Dan Millman,4.13,56192,12,1102
"The Chocolate War (Chocolate War, #1)",Robert Cormier,3.49,46890,14,1102
"Nightfall (Devil's Night, #4)",Penelope Douglas,4.27,135301,13,1102
Karna's Wheel,Michael Tobert,4.27,412,12,1102
"Savvy (Savvy, #1)",Ingrid Law,3.98,49719,14,1101
"Bad Things (Tristan & Danika, #1)",R.K. Lilley,4.27,33041,13,1101
"Daughter of No Worlds (The War of Lost Hearts, #1)",Carissa Broadbent,4.02,208234,12,1101
"Number 13 (Lightmasters, #1)",M.G. Wells,4.17,268,11,1100
The Power of Your Subconscious Mind,Joseph Murphy,4.06,87465,12,1100
Caged,Shanna Ehrlich,3.73,546,11,1100
Nicu II and Victoria's Incestuous Romance,Kenneth Jarrett Singleton,4.4,467,11,1100
The Undoing Project: A Friendship That Changed Our Minds,Michael   Lewis,3.99,63778,12,1100
Sunstruck,Melissa Bellis,4.47,109,11,1100
"The Clan of the Cave Bear, the Valley of Horses, the Mammoth Hunters, the Plains of Passage (Earth's Children, #1-4)",Jean M. Auel,4.32,5896,15,1099
"Hades (Halo, #2)",Alexandra Adornetto,3.94,33498,15,1099
"Lord of the Fading Lands (Tairen Soul, #1)",C.L. Wilson,3.95,27428,14,1099
Leap of Faith (The Rufino Factor Book One),Joshua Rem,4.19,242,12,1099
"Proud Pada (The Last Lumenian, #3)",S.G. Blaise,4.34,962,12,1099
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley,4.05,133201,13,1098
The Girl Who Chased the Moon,Sarah Addison Allen,3.97,63652,14,1098
Supernatural Hero,Eran Gadot,4.42,204,11,1098
Mud Vein,Tarryn Fisher,4.08,26129,13,1098
A Touch of Dead,Charlaine Harris,3.85,50068,14,1097
They Cage the Animals at Night: The True Story of an Abandoned Child's Struggle for Emotional Survival,Jennings Michael Burch,4.35,10264,13,1097
"Mortal Engines (Mortal Engines, #1)",Philip Reeve,3.77,70429,12,1097
Kokoro,Natsume Sōseki,4.04,41782,12,1096
"The Bird and the Sword (The Bird and the Sword Chronicles, #1)",Amy Harmon,4.17,46008,13,1096
"Tricks (Tricks, #1)",Ellen Hopkins,4.27,41379,14,1095
How Not to Murder Your Grumpy,Carol Wyer,4.08,102,11,1095
"MaddAddam (MaddAddam, #3)",Margaret Atwood,4.02,82299,13,1095
"Lord Loss (The Demonata, #1)",Darren Shan,4.25,25068,13,1095
Cancer Ward,Aleksandr Solzhenitsyn,4.26,17527,14,1095
"Throne of Novoxos (Van Laven Chronicles, #1)",Tyler Chase,3.64,2236,11,1095
Thr3e,Ted Dekker,4.07,37077,12,1094
"Dead Reckoning (Sookie Stackhouse, #11)",Charlaine Harris,3.82,133135,19,1094
Alive: The Story of the Andes Survivors,Piers Paul Read,4.14,81746,14,1094
A Day in the Life of Cowboy Mike and Winston,Michael Eastwood,4.92,90,11,1094
"Etiquette & Espionage (Finishing School, #1)",Gail Carriger,3.83,51684,13,1093
The Member of the Wedding,Carson McCullers,3.81,20263,16,1093
"Dragonsinger (Harper Hall, #2)",Anne McCaffrey,4.3,48690,19,1093
To Dream the Blackbane,Richard J.   O'Brien,4.51,263,12,1093
Never Go With Your Gut: How Pioneering Leaders Make the Best Decisions and Avoid Business Disasters,Gleb Tsipursky,4.12,258,11,1093
Small Island,Andrea Levy,4.01,37761,13,1092
La Horde du Contrevent,Alain Damasio,4.42,8668,11,1092
Still Missing,Chevy Stevens,4.0,104478,13,1092
"Boundless (Unearthly, #3)",Cynthia Hand,4.11,47517,14,1092
"Wild Seed (Patternist, #1)",Octavia E. Butler,4.2,39451,13,1092
Bottled Lightning,L.M. Weeks,4.06,689,13,1092
Under the Bus,Kyle Keyes,4.18,320,12,1091
"God of Fury (Legacy of Gods, #5)",Rina Kent,4.5,139060,12,1091
A Quick Bite (Argeneau #1),Lynsay Sands,3.91,45656,16,1090
"Ninth Key (The Mediator, #2)",Meg Cabot,4.06,41510,15,1090
Rules of Civility,Amor Towles,4.09,269182,15,1090
XOXO,Axie Oh,3.79,47114,12,1090
Alone With You in the Ether,Olivie Blake,3.78,107238,12,1090
The Tender Bar: A Memoir,J.R. Moehringer,4.0,45143,14,1089
"Sloppy Firsts (Jessica Darling, #1)",Megan McCafferty,3.95,36271,12,1089
"Hallowed (Unearthly, #2)",Cynthia Hand,4.09,76009,14,1088
The Rest of Us Just Live Here,Patrick Ness,3.68,63207,13,1088
"Turn Coat (The Dresden Files, #11)",Jim  Butcher,4.44,111645,16,1087
"The King (Black Dagger Brotherhood, #12)",J.R. Ward,4.37,57612,15,1087
"The Lost Prince (The Iron Fey: Call of the Forgotten, #1)",Julie Kagawa,4.02,28823,13,1087
Radio Silence,Alice Oseman,4.17,127969,12,1087
"Defiance (Defiance, #1)",C.J. Redwine,3.67,29077,14,1086
The Ghost Bride,Yangsze Choo,3.81,37380,12,1086
"Winger (Winger, #1)",Andrew  Smith,4.04,23119,12,1086
"Storm and Silence (Storm and Silence, #1)",Robert Thier,4.49,29644,12,1086
"The Black Cauldron (The Chronicles of Prydain, #2)",Lloyd Alexander,4.12,66785,15,1085
"The Desert Spear (The Demon Cycle, #2)",Peter V. Brett,4.21,91284,13,1085
How High We Go in the Dark,Sequoia Nagamatsu,3.81,69993,11,1085
"Reckless (Chestnut Springs, #4)",Elsie Silver,4.36,404136,12,1085
Sole Survivor,Dean Koontz,3.8,31866,14,1084
"Providence (Providence, #1)",Jamie McGuire,3.97,27901,14,1084
In Order to Live: A North Korean Girl's Journey to Freedom,Yeonmi Park,4.48,103752,13,1084
Live Digital or Be Irrelevant: My Firsthand Narrative of Transformation to Becoming a Digital Citizen Ready for a Dynamic Future,A.K. Smith-Ford,4.34,186,13,1084
"The Prince (The Selection, #0.5)",Kiera Cass,3.88,87603,12,1083
"Almost Heaven (Sequels, #3)",Judith McNaught,4.33,29671,14,1082
"The Eighth Sister (Charles Jenkins, #1)",Robert Dugoni,4.21,40804,13,1082
Local Woman Missing,Mary Kubica,4.12,740002,13,1082
Say Nothing: A True Story of Murder and Memory in Northern Ireland,Patrick Radden Keefe,4.47,163006,13,1081
Secret Slave: Kidnapped and abused for 13 years. This is my story of survival.,Anna Ruston,4.19,7180,11,1081
Freedom: My Book of Firsts,Jaycee Dugard,3.55,5730,11,1081
The White Album,Joan Didion,4.02,49558,13,1080
"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,4.01,28819,11,1080
"In the Blood (Terminal List, #5)",Jack Carr,4.49,26466,11,1080
Fyodor Dostoyevsky's Crime and Punishment,John D. Simons,4.52,3165,17,1079
Phantoms,Dean Koontz,3.95,80115,14,1079
Invisible,Paul Auster,3.75,23194,12,1079
"Hawksong (The Kiesha'ra, #1)",Amelia Atwater-Rhodes,4.17,23048,14,1079
Madam Speaker: Nancy Pelosi and the Lessons of Power,Susan  Page,4.14,1864,11,1079
"Succubus Dreams (Georgina Kincaid, #3)",Richelle Mead,4.12,29617,15,1078
"A Job From Hell (Ancient Legends, #1)",Jayde Scott,3.57,8328,11,1078
"Motorcycle Man (Dream Man, #4)",Kristen Ashley,4.37,58555,16,1078
"Foundation and Earth (Foundation, #5)",Isaac Asimov,4.07,79900,16,1078
The Dragon Storm - Gates,Anthony DiPaolo,4.38,811,12,1078
Behavior Reports: A WWII Submarine Adventure Novel (USS Bull Shark Naval Thriller series Book 5),Scott W. Cook,4.4,1798,11,1078
Obsession,Jennifer L. Armentrout,4.1,29723,14,1077
"The Ice Princess (Fjällbacka, #1)",Camilla Läckberg,3.76,88305,13,1077
"One Good Dragon Deserves Another (Heartstrikers, #2)",Rachel Aaron,4.31,9660,11,1077
"Let the Sky Fall (Sky Fall, #1)",Shannon Messenger,3.96,16442,12,1076
Save Yourself,Kelly Braffet,3.48,3920,13,1076
"Jesus Listens: Daily Devotional Prayers of Peace, Joy, and Hope (A 365-Day Prayer Book)",Sarah  Young,4.65,1418,11,1076
"Heartsick (Archie Sheridan & Gretchen Lowell, #1)",Chelsea Cain,3.93,43269,13,1075
"Arrow of the Mist (Arrow of the Mist, #1)",Christina Mercer,3.96,385,12,1075
"A Day of Fallen Night (The Roots of Chaos, #0.1)",Samantha Shannon,4.32,55378,11,1075
The Surgeon,Leslie Wolfe,3.85,64568,11,1075
"Midnight (Warriors: The New Prophecy, #1)",Erin Hunter,4.26,47669,17,1074
"The Dark Divine (The Dark Divine, #1)",Bree Despain,3.79,38590,17,1074
"The Redemption of Callie & Kayden (The Coincidence, #2)",Jessica Sorensen,4.08,59789,14,1074
The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,4.48,116167,14,1074
"Love, Lex (The Undergrad Years, #1)",Avery Aster,3.26,1776,11,1074
"Second Grave on the Left (Charley Davidson, #2)",Darynda Jones,4.24,54461,14,1074
Super Ninja: The Sword of Heaven,William Kely McClung,4.37,1122,12,1074
"Bud, Not Buddy",Christopher Paul Curtis,3.97,114919,13,1073
"On a Pale Horse (Incarnations of Immortality, #1)",Piers Anthony,4.13,41403,18,1073
"Black Butler, Vol. 1 (Black Butler, #1)",Yana Toboso,4.35,142734,14,1073
The Long Walk: The True Story of a Trek to Freedom,Slavomir Rawicz,4.24,21789,15,1073
"The Bands of Mourning (Mistborn, #6)",Brandon Sanderson,4.4,186029,13,1073
Heal Your Body: The Mental Causes for Physical Illness and the Metaphysical Way to Overcome Them,Louise L. Hay,4.33,20150,12,1073
Obama: From Promise to Power – A Revealing Political Biography with Exclusive Access to Barack 's Historic Rise,David Mendell,4.18,2704,11,1073
"If Only I Had Told Her (If He Had Been with Me, #2)",Laura Nowlin,3.86,183903,11,1073
"Betrayals (Strange Angels, #2)",Lili St. Crow,4.07,26751,14,1072
"Pani Jeziora (Saga o Wiedźminie, #5)",Andrzej Sapkowski,4.09,99091,13,1072
One for the Murphys,Lynda Mullaly Hunt,4.33,33748,12,1072
The Robber Bride,Margaret Atwood,3.83,49611,13,1071
Cut,Patricia McCormick,3.76,60163,14,1071
"The Midwife: A Memoir of Birth, Joy, and Hard Times",Jennifer Worth,4.19,78665,12,1071
"Song of Susannah (The Dark Tower, #6)",Stephen  King,4.0,174751,15,1070
Under the Banner of Heaven: A Story of Violent Faith,Jon Krakauer,4.01,224370,16,1070
The Mayan Legacy,Jody    Summers,4.4,518,14,1070
"To the Nines (Stephanie Plum, #9)",Janet Evanovich,4.17,126225,19,1069
The Importance of Being Earnest and Other Plays,Oscar Wilde,4.23,51848,19,1069
SPQR: A History of Ancient Rome,Mary Beard,4.06,80574,13,1069
"A Caress of Twilight (Merry Gentry, #2)",Laurell K. Hamilton,4.08,42523,15,1068
Moxie,Jennifer Mathieu,4.18,35223,12,1068
Glucose Control Eating: Lose Weight Stay Slimmer Live Healthier Live Longer,Rick Mystrom,4.31,922,12,1068
"Pulp: Charles Bukowski's Final Hardboiled Noir Comedy – Lady Death, Aliens, and the Absurd",Charles Bukowski,3.67,43967,16,1067
The Charterhouse of Parma,Stendhal,3.79,19921,15,1067
Shakespeare: The World as Stage,Bill Bryson,3.82,48750,13,1067
"Secrets II (Secrets, #2)",Julie Mannino,3.92,134,12,1067
A Supposedly Fun Thing I'll Never Do Again:  Essays and Arguments,David Foster Wallace,4.13,54030,14,1066
Those Who Save Us,Jenna Blum,4.11,103369,12,1066
Honor's Splendour,Julie Garwood,4.23,34771,14,1066
Faithful Place (Dublin Murder Squad #3),Tana French,4.0,132041,14,1066
The Well House,M.S. Matassa,4.31,339,12,1066
To Have and Have Not,Ernest Hemingway,3.51,36672,16,1065
Innocent Traitor,Alison Weir,3.98,34934,14,1065
Hidden Figures,Margot Lee Shetterly,3.96,113340,13,1065
"The Emotion Code: How to Release Your Trapped Emotions for Abundant Health, Love, and Happiness",Bradley  Nelson,3.95,5766,11,1065
Selected Stories of Anton Chekhov,Anton Chekhov,4.37,31954,13,1064
Glue,Irvine Welsh,3.91,15179,13,1064
"Peeps (Peeps, #1)",Scott Westerfeld,3.78,25558,13,1063
"Sideways Stories from Wayside School (Wayside School, #1)",Louis Sachar,4.16,100829,16,1063
"Infinite Days (Vampire Queen, #1)",Rebecca Maizel,3.89,9639,11,1063
"The Mephisto Club (Rizzoli & Isles, #6)",Tess Gerritsen,4.03,50956,13,1063
"Tales from a Not-So-Fabulous Life (Dork Diaries, #1)",Rachel Renée Russell,4.1,116850,12,1063
"Ceaseless (Existence, #3)",Abbi Glines,4.16,33469,15,1063
"Succubus Heat (Georgina Kincaid, #4)",Richelle Mead,4.16,28051,16,1062
"Secrets (Secrets, #1)",Julie Mannino,3.95,172,12,1062
"The Predator (Dark Verse, #1)",RuNyx,3.98,137723,13,1062
Dempsey (Tier One #7),Brian  Andrews,4.62,2914,11,1062
Androne (Androne #1),Dwain Worrell,3.9,3526,11,1062
What I Wish I Said: Confessions of a Columnist,Jaime Watt,4.29,288,13,1062
"The Black Company (The Chronicles of the Black Company, #1)",Glen Cook,3.93,54425,15,1061
Dinners with Ruth: A Memoir on the Power of Friendships,Nina Totenberg,4.11,18615,11,1061
"A Dangerous Path (Warriors, #5)",Erin Hunter,4.45,56018,16,1060
The Zombie Survival Guide: Complete Protection from the Living Dead,Max Brooks,3.86,105586,15,1059
Antony and Cleopatra,William Shakespeare,3.71,43617,17,1059
"Sexus (The Rosy Crucifixion, #1)",Henry Miller,4.0,10199,12,1059
"The Keepsake (Rizzoli & Isles, #7)",Tess Gerritsen,4.12,48359,14,1059
The Ways of Autumn,William Graney,4.43,120,12,1059
Hell Followed With Us,Andrew Joseph White,4.09,32868,11,1059
Niebla,Miguel de Unamuno,4.06,23662,12,1058
"The Body in the Library (Miss Marple, #2)",Agatha Christie,3.81,126530,17,1058
The Lost City of Z: A Tale of Deadly Obsession in the Amazon,David Grann,3.9,109873,12,1058
"Succubus Revealed (Georgina Kincaid, #6)",Richelle Mead,4.27,22688,14,1058
"Uncommon Criminals (Heist Society, #2)",Ally Carter,4.12,44270,14,1058
"Pieces of Her (Andrea Oliver, #1)",Karin Slaughter,3.83,146323,13,1058
The Street Lawyer,John Grisham,3.89,122470,13,1056
"The Weed That Strings the Hangman's Bag (Flavia de Luce, #2)",Alan Bradley,3.99,58714,13,1056
"A Shadow Bright and Burning (Kingdom on Fire, #1)",Jessica Cluess,3.73,17040,11,1056
Cosmicomics,Italo Calvino,4.15,20840,12,1055
"Are You There, Vodka? It's Me, Chelsea",Chelsea Handler,3.84,167966,12,1055
War with the Newts,Karel Čapek,4.17,17626,13,1055
"Dear Ijeawele, or A Feminist Manifesto in Fifteen Suggestions",Chimamanda Ngozi Adichie,4.51,87986,13,1055
Everybody Knows,Jordan Harper,3.71,11922,11,1055
"Deal Breaker (Myron Bolitar, #1)",Harlan Coben,3.98,77353,14,1054
This Time It's Real,Ann Liang,4.02,30218,11,1054
The Pit and the Pendulum,Edgar Allan Poe,4.14,72196,15,1053
"Fury (New Species, #1)",Laurann Dohner,4.07,34796,14,1052
"Disney After Dark (Kingdom Keepers, #1)",Ridley Pearson,3.9,31369,13,1052
"Memories, Dreams, Reflections",C.G. Jung,4.17,38182,15,1051
"Collide (Collide, #1)",Gail McHugh,4.19,66506,14,1051
"Echo Burning (Jack Reacher, #5)",Lee Child,4.05,107057,14,1051
Dream Story,Arthur Schnitzler,3.76,21039,12,1051
The Catastrophic History of You and Me,Jess Rothenberg,4.03,16565,11,1051
"The Wrong Play (The Wrong Player, #2)",C.R. Jane,4.12,13515,11,1051
The View from Saturday,E.L. Konigsburg,3.76,46594,12,1050
"Captivated by You (Crossfire, #4)",Sylvia Day,4.12,126030,13,1050
Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,4.46,364538,12,1050
"Taming 7 (Boys of Tommen, #5)",Chloe Walsh,4.33,181155,11,1050
Teasing (Red Lips & White Lies #5),Bella Matthews,4.38,7655,11,1050
"The Snowy Day (Peter, #1)",Ezra Jack Keats,4.2,119193,19,1049
Murder At The Fort: A Double Homicide Cold Case And Cover Up!,Bob Marmion,4.37,359,12,1049
"Everlasting (The Immortals, #6)",Alyson Noel,3.9,49482,16,1048
From the Corner of His Eye,Dean Koontz,4.07,35392,13,1047
"Forever, Christian",Tina Traverse,4.47,66,11,1047
"And I Darken (The Conqueror's Saga, #1)",Kiersten White,3.81,53163,13,1047
"You Really Are Full of Shit, Aren't You?",Karl Wiggins,4.15,196,11,1047
Loki's Price,Julie Mannino,4.28,82,12,1047
The House of the Seven Gables,Nathaniel Hawthorne,3.45,42873,16,1046
"Checkmate (The Lymond Chronicles, #6)",Dorothy Dunnett,4.7,3778,11,1046
An Unquiet Mind: A Memoir of Moods and Madness,Kay Redfield Jamison,4.06,85553,13,1046
"Bury Your Dead (Chief Inspector Armand Gamache, #6)",Louise Penny,4.35,97007,13,1046
The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,4.53,28733,11,1045
"Lila: An Inquiry Into Morals (Phaedrus, #2)",Robert M. Pirsig,3.84,7449,13,1045
"Ice Station (Shane Schofield, #1)",Matthew Reilly,4.12,34896,12,1045
Calico Jack in your Garden,Karl Wiggins,4.22,220,11,1045
A Castle of Doomsday,Michael G. Kramer,4.27,3062,12,1045
The Horror at Murden Cove (A Thomas Austin Crime Thriller #4),D.D. Black,4.35,6819,11,1045
My Utmost for His Highest,Oswald Chambers,4.39,84188,15,1044
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",Erik Larson,3.89,218960,14,1044
"Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead",Fyodor Dostoevsky,4.19,78429,12,1044
Ramonst,A.F. Knott,4.45,260,11,1044
"A Merciful Truth (Mercy Kilpatrick, #2)",Kendra Elliot,4.28,33090,11,1044
To Kill a Mockingbird,Harper Lee,4.26,6829660,11,1044
