Title,Author,Avg_Rating,Total_Ratings,Votes,Score
"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,3634825,1218,108772
The Importance of Being Earnest,Oscar Wilde,4.17,404107,1343,108594
"The Wonderful Wizard of Oz (Oz, #1)",L. Frank Baum,4.0,509006,1411,108491
Atonement,Ian McEwan,3.95,561331,1288,108237
The Three Musketeers,Alexandre Dumas,4.1,345774,1349,107587
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.39,4027177,1132,106221
The Lorax,Dr. Seuss,4.35,368307,1291,105439
"Eat, Pray, Love",Elizabeth Gilbert,3.64,1837434,1210,104580
The Diary of a Young Girl,Anne Frank,4.2,4159977,1282,103918
Goodnight Moon,Margaret Wise Brown,4.32,393882,1290,103845
"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins,4.5,233956,1218,103777
A Midsummer Night’s Dream,William Shakespeare,3.94,576382,1333,102273
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,4.2,724986,1286,102066
Bridge to Terabithia,Katherine Paterson,4.06,587690,1247,99866
"Frostbite (Vampire Academy, #2)",Richelle Mead,4.25,371416,1120,98588
"The Selection (The Selection, #1)",Kiera Cass,4.07,1750822,1098,97795
Heart of Darkness,Joseph Conrad,3.43,555969,1196,97029
Tess of the D’Urbervilles,Thomas Hardy,3.84,301708,1184,96485
The Night Circus,Erin Morgenstern,4.0,1092171,1082,96206
The Call of the Wild,Jack London,3.91,470044,1233,94992
The Prophet,Kahlil Gibran,4.23,327293,1142,94812
"Blood Promise (Vampire Academy, #4)",Richelle Mead,4.3,326450,1067,93562
Alice in Wonderland,Jane Carruth,4.03,396649,1200,92449
The Joy Luck Club,Amy Tan,3.97,708351,1154,92376
The Phantom Tollbooth,Norton Juster,4.2,305735,1076,91727
"The Good Earth (House of Earth, #1)",Pearl S. Buck,4.01,260117,1117,91678
"Oh, the Places You’ll Go!",Dr. Seuss,4.37,440723,1165,91579
The Neverending Story,Michael Ende,4.18,219931,1108,91216
Madame Bovary,Gustave Flaubert,3.71,372723,1122,89680
Treasure Island,Robert Louis Stevenson,3.85,538000,1199,89272
Oliver Twist,Charles Dickens,3.88,426057,1195,88842
"The Mists of Avalon (Avalon, #1)",Marion Zimmer Bradley,4.13,212562,1051,88487
"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,4.55,842639,1024,88284
Jonathan Livingston Seagull,Richard Bach,3.86,271510,1066,86943
The Boy in the Striped Pajamas,John Boyne,4.16,958737,1061,86818
Ulysses,James Joyce,3.76,137413,1028,86774
"Jurassic Park (Jurassic Park, #1)",Michael Crichton,4.13,1055715,1067,86289
"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,3.67,2846786,951,84260
"Beloved (Beloved Trilogy, #1)",Toni Morrison,3.98,487853,1018,83359
"The Lost Hero (The Heroes of Olympus, #1)",Rick Riordan,4.29,935143,991,82407
"The Clan of the Cave Bear (Earth's Children, #1)",Jean M. Auel,4.1,281851,1006,81163
A Farewell to Arms,Ernest Hemingway,3.82,351917,1024,79817
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.12,1007635,907,79130
The Canterbury Tales,Geoffrey Chaucer,3.53,237258,1051,79038
David Copperfield,Charles Dickens,4.04,257485,1040,78983
A Little Princess,Frances Hodgson Burnett,4.23,323550,1000,78905
The World According to Garp,John Irving,4.11,238248,974,78244
Thirteen Reasons Why,Jay Asher,3.84,1022221,894,77829
The Iliad / The Odyssey,Homer,4.07,83428,990,76010
His Dark Materials (His Dark Materials #1-3),Philip Pullman,4.29,167966,880,75425
The Silmarillion,J.R.R. Tolkien,4.03,333215,904,75171
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,4.28,443698,877,74492
"Mockingjay (The Hunger Games, #3)",Suzanne Collins,4.12,3688639,929,74444
The Trial,Franz Kafka,3.94,391481,908,74356
"Shōgun (Asian Saga, #1)",James Clavell,4.41,211248,912,74290
"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,3.51,681139,899,74274
Schindler’s List,Thomas Keneally,4.34,165460,976,74224
The Velveteen Rabbit,Margery Williams Bianco,4.31,272068,984,74167
"Clockwork Prince (The Infernal Devices, #2)",Cassandra Clare,4.42,583863,870,74090
Man's Search for Meaning,Viktor E. Frankl,4.37,866698,822,70572
Extremely Loud & Incredibly Close,Jonathan Safran Foer,3.97,434494,803,70430
"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",Philippa Gregory,4.09,512193,859,69732
"The Silence of the Lambs  (Hannibal Lecter, #2)",Thomas  Harris,4.26,586432,895,69637
The Green Mile,Stephen  King,4.49,360618,883,69330
The Sun Also Rises,Ernest Hemingway,3.79,491583,879,68889
"Fallen (Fallen, #1)",Lauren Kate,3.72,616671,793,68488
"Last Sacrifice (Vampire Academy, #6)",Richelle Mead,4.36,299189,800,68051
A Confederacy of Dunces,John Kennedy Toole,3.89,296731,784,67565
The Lord of the Rings,J.R.R. Tolkien,4.54,727696,810,67524
The Screwtape Letters,C.S. Lewis,4.27,516032,819,66854
"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,4.57,763147,727,66785
Misery,Stephen  King,4.23,841486,846,65865
The Crucible,Arthur Miller,3.61,461901,874,65558
Cat’s Cradle,Kurt Vonnegut Jr.,4.15,435341,803,65503
The Secret Magdalene,Ki Longfellow,4.14,4737,670,65329
The Wind in the Willows,Kenneth Grahame,4.02,239534,866,65135
A Light in the Attic,Shel Silverstein,4.36,475106,852,64610
American Psycho,Bret Easton Ellis,3.8,359599,743,63818
"Spirit Bound (Vampire Academy, #5)",Richelle Mead,4.32,307070,755,63662
The Phantom of the Opera,Gaston Leroux,3.96,275492,815,63607
"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,4.42,1016139,782,63497
Blindness,José Saramago,4.18,335405,730,63184
"City of Fallen Angels (The Mortal Instruments, #4)",Cassandra Clare,4.07,638387,782,63084
"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.41,3125996,773,62975
The Hiding Place: The Triumphant True Story of Corrie Ten Boom,Corrie ten Boom,4.48,354517,755,62965
The God of Small Things,Arundhati Roy,3.96,323590,737,62767
"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,4.66,660132,659,62397
The House of the Spirits,Isabel Allende,4.3,316545,769,61983
"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,4.02,423530,763,61836
The Chain Between Worlds (The Lost Artefacts #1),Johnathon Nicolaou,4.41,1237,615,61459
Girl with a Pearl Earring,Tracy Chevalier,3.93,778452,795,60596
The Wind-Up Bird Chronicle,Haruki Murakami,4.14,313335,672,59764
"Uglies (Uglies, #1)",Scott Westerfeld,3.84,706743,713,59715
Marley and Me: Life and Love With the World’s Worst Dog,John Grogan,4.14,476625,748,59580
The Guernsey Literary and Potato Peel Pie Society,Mary Ann Shaffer,4.19,806577,731,59398
Norwegian Wood,Haruki Murakami,3.99,722798,676,59202
Speak,Laurie Halse Anderson,4.05,629599,703,57987
Paper Towns,John Green,3.7,1483355,680,57835
She’s Come Undone,Wally Lamb,3.92,361836,698,57456
"The Cruel Prince (The Folk of the Air, #1)",Holly Black,4.01,1706405,627,57171
"Shiver (The Wolves of Mercy Falls, #1)",Maggie Stiefvater,3.76,495985,665,57084
The Shack: Where Tragedy Confronts Eternity,William Paul Young,3.84,690033,676,56652
"Marked (House of Night, #1)",P.C. Cast,3.82,521909,665,56534
Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream,Hunter S. Thompson,4.06,376931,686,56519
The Complete Calvin and Hobbes,Bill Watterson,4.81,42042,706,56493
Kafka on the Shore,Haruki Murakami,4.12,544483,639,56427
The Sound and the Fury,William Faulkner,3.86,195343,703,56237
For Whom the Bell Tolls,Ernest Hemingway,3.99,316833,770,56170
The Complete Sherlock Holmes,Arthur Conan Doyle,4.51,216341,732,56158
"Shatter Me (Shatter Me, #1)",Tahereh Mafi,3.84,1207228,630,56128
Othello,William Shakespeare,3.89,434963,794,55657
Room,Emma Donoghue,4.08,832388,655,55430
Island of the Blue Dolphins,Scott O'Dell,3.88,349033,712,55249
The Idiot,Fyodor Dostoevsky,4.21,215425,698,55195
Stranger in a Strange Land,Robert A. Heinlein,3.92,326071,686,54721
"Inkheart (Inkworld, #1)",Cornelia Funke,3.93,442077,687,54434
Roots: The Saga of an American Family,Alex Haley,4.45,164581,715,54368
Into the Wild,Jon Krakauer,4.02,1185892,683,54111
"Wonder (Wonder, #1)",R.J. Palacio,4.36,1188974,630,54045
East of Eden,John Steinbeck,4.44,630495,633,53844
The Virgin Suicides,Jeffrey Eugenides,3.78,409472,644,53425
"Neverwhere (London Below, #1)",Neil Gaiman,4.16,560469,645,52930
Never Let Me Go,Kazuo Ishiguro,3.85,845878,633,52722
"The Vampire Lestat (The Vampire Chronicles, #2)",Anne Rice,4.11,216030,675,52631
"Ready Player One (Ready Player One, #1)",Ernest Cline,4.23,1292014,595,52535
"A Court of Thorns and Roses (A Court of Thorns and Roses, #1)",Sarah J. Maas,4.16,4118653,599,52402
